tag	strategy	weights	protect	floor	pstrat	gsm_strict	gsm_flex	he_smoke	lcb_smoke
A2_lp4_uni	lp4	1 1 1 1 1 1 1 1	16	0	same	0.6333333333333333	0.7333333333333333	0.0	0
A3_top3mean_uni	top3mean	1 1 1 1 1 1 1 1	16	0	same	0.6	0.7	0.0	0
A4_softmax_t4_uni	softmax_t4	1 1 1 1 1 1 1 1	16	0	same	0.6333333333333333	0.7333333333333333	0.0	0
A5_second_uni	second	1 1 1 1 1 1 1 1	16	0	same	0.6	0.6666666666666666	0.0	0
B1_max_genheavy	max	2 2 2 2 2 1 1 1	16	0	same	0.6	0.6666666666666666	0.0	0
B2_max_mathcode	max	3 1 2 1 1 1 1 1	16	0	same	0.6333333333333333	0.8333333333333334	0.0	0
B3_max_tgtheavy	max	1 1 1 1 1 3 3 3	16	0	same	0.5333333333333333	0.5666666666666667	0.0	0
B4_max_broad	max	2 1 3 2 1 2 2 2	16	0	same	0.6666666666666666	0.7333333333333333	1.0	0
B5_max_xtgt	max	1 1 1 1 1 5 5 5	16	0	same	0.5666666666666667	0.6	1.0	0
D1_lp4_mathcode	lp4	3 1 2 1 1 1 1 1	16	0	same	0.7666666666666667	0.7666666666666667	0.0	0
D2_second_mathcode	second	3 1 2 1 1 1 1 1	16	0	same	0.6	0.7	0.0	0
D3_top3mean_genheavy	top3mean	2 2 2 2 2 1 1 1	16	0	same	0.5	0.6666666666666666	1.0	0
D4_second_tgtheavy	second	1 1 1 1 1 3 3 3	16	0	same	0.5666666666666667	0.6333333333333333	1.0	0
